GeneSymbol	counts
RTCA-AS1	0
RTCA	323
MIR553	0
CDC14A	4
GPR88	0
LINC01349	0
VCAM1	2
EXTL2	18
SLC30A7	6
DPH5	5
DPH5-DT	0
LOC101928334	0
S1PR1-DT	0
S1PR1	18
LINC01307	0
OLFM3	0
DNAJA1P5	0
COL11A1	0
RNPC3-DT	0
RNPC3	17
AMY2B	586
ACTG1P4	92
AMY2A	556
AMY1A	15
AMY1B	49
AMY1C	16
THAP3P1	10
LINC01676	0
PRMT6	86
NTNG1	0
VAV3	7
MIR7852	0
VAV3-AS1	0
SLC25A24	0
NBPF4	0
NBPF6	0
EEIG2	3
HENMT1	21
PRPF38B	998
FNDC7	0
STXBP3	376
AKNAD1	0
SPATA42	0
GPSM2	3
CLCC1	335
WDR47	1
TAF13	9
TMEM167B	235
SCARNA2	828
CFAP276	187
ELAPOR1	8
SARS1	17
CELSR2	3
PSRC1	2
MYBPHL	35
SORT1	80
PSMA5	8
SYPL2	42
ATXN7L2	0
CYB561D1	4
AMIGO1	128
GPR61	0
GNAI3	40
MIR197	0
GNAT2	3
AMPD2	31
GSTM4	6
GSTM2	5
GSTM1	5
GSTM5	3
GSTM3	2
EPS8L3	0
CSF1	1210
AHCYL1	35
STRIP1	302
ALX3	0
LINC01397	0
UBL4B	8
SLC6A17	0
KCNC4-DT	0
KCNC4	79
RBM15-AS1	0
RBM15	0
SLC16A4	512
LAMTOR5	12
LAMTOR5-AS1	0
PROK1	0
CYMP	1
CYMP-AS1	0
KCNA10	4
KCNA2	29
KCNA3	1371
CD53	0
LRIF1	2
DRAM2	1
CEPT1	72
DENND2D	561
CHI3L2	29
CHIAP2	0
CHIA	0
CIMAP3	53
PGBP	8
OVGP1	51
WDR77	17
ATP5PB	8
C1orf162	4
TMIGD3	0
ADORA3	0
LINC01160	33
RAP1A	60
INKA2	34
INKA2-AS1	2
LOC101928718	0
DDX20	4
KCND3	0
KCND3-IT1	0
KCND3-AS1	0
LINC01750	0
CTTNBP2NL	5
MIR4256	0
WNT2B	34
ST7L	46
CAPZA1	2
MOV10	1295
RHOC	79
PPM1J	0
TAFA3	0
LINC01356	0
SLC16A1	0
AKR7A2P1	154
SLC16A1-AS1	0
LRIG2-DT	3
LRIG2	340
LOC643441	1
MAGI3	352
PHTF1	5
RSBN1	2
AP4B1-AS1	0
PTPN22	4
BCL2L15	451
AP4B1	9
DCLRE1B	220
HIPK1-AS1	3
HIPK1	1
OLFML3	14
SYT6	0
TRIM33	145
BCAS2	30
DENND2C	0
AMPD1	0
NRAS	1
CSDE1	8
SIKE1	10
SYCP1	0
TSHB	0
TSPAN2	31
NGF	10
VANGL1	2
CASQ2	19
NHLH2	0
LINC01649	0
LOC101928977	0
SLC22A15	54
MAB21L3	0
ATP1A1	89
ATP1A1-AS1	151
LINC01762	0
CD58	539
MIR548AC	0
IGSF3	883
MIR320B1	0
LINC02868	0
CD2	2
PTGFRN	5
CD101	0
CD101-AS1	0
TTF2	11
MIR942	0
TRIM45	27
VTCN1	3
LINC01525	0
MAN1A2	593
TENT5C-DT	0
TENT5C	1892
GDAP2	4
WDR3	29
SPAG17	0
TBX15	0
WARS2	57
WARS2-IT1	0
